date,product_id,store_id,inventory
2024-01-01,P001,S01,229
2024-01-01,P001,S02,44
2024-01-01,P001,S03,70
2024-01-01,P001,S04,68
2024-01-01,P001,S05,78
2024-01-01,P001,S06,96
2024-01-01,P001,S07,192
2024-01-01,P001,S08,115
2024-01-01,P001,S09,96
2024-01-01,P001,S10,123
2024-01-01,P002,S01,150
2024-01-01,P002,S02,199
2024-01-01,P002,S03,79
2024-01-01,P002,S04,100
2024-01-01,P002,S05,201
2024-01-01,P002,S06,218
2024-01-01,P002,S07,130
2024-01-01,P002,S08,67
2024-01-01,P002,S09,218
2024-01-01,P002,S10,199
2024-01-01,P003,S01,65
2024-01-01,P003,S02,53
2024-01-01,P003,S03,112
2024-01-01,P003,S04,185
2024-01-01,P003,S05,205
2024-01-01,P003,S06,26
2024-01-01,P003,S07,77
2024-01-01,P003,S08,182
2024-01-01,P003,S09,110
2024-01-01,P003,S10,100
2024-01-01,P004,S01,180
2024-01-01,P004,S02,219
2024-01-01,P004,S03,305
2024-01-01,P004,S04,31
2024-01-01,P004,S05,77
2024-01-01,P004,S06,232
2024-01-01,P004,S07,117
2024-01-01,P004,S08,210
2024-01-01,P004,S09,63
2024-01-01,P004,S10,173
2024-01-01,P005,S01,204
2024-01-01,P005,S02,107
2024-01-01,P005,S03,64
2024-01-01,P005,S04,129
2024-01-01,P005,S05,44
2024-01-01,P005,S06,81
2024-01-01,P005,S07,108
2024-01-01,P005,S08,296
2024-01-01,P005,S09,126
2024-01-01,P005,S10,152
2024-01-01,P006,S01,99
2024-01-01,P006,S02,102
2024-01-01,P006,S03,237
2024-01-01,P006,S04,125
2024-01-01,P006,S05,16
2024-01-01,P006,S06,105
2024-01-01,P006,S07,124
2024-01-01,P006,S08,142
2024-01-01,P006,S09,83
2024-01-01,P006,S10,173
2024-01-01,P007,S01,74
2024-01-01,P007,S02,108
2024-01-01,P007,S03,136
2024-01-01,P007,S04,380
2024-01-01,P007,S05,17
2024-01-01,P007,S06,252
2024-01-01,P007,S07,293
2024-01-01,P007,S08,105
2024-01-01,P007,S09,76
2024-01-01,P007,S10,53
2024-01-01,P008,S01,175
2024-01-01,P008,S02,98
2024-01-01,P008,S03,258
2024-01-01,P008,S04,172
2024-01-01,P008,S05,63
2024-01-01,P008,S06,183
2024-01-01,P008,S07,136
2024-01-01,P008,S08,115
2024-01-01,P008,S09,157
2024-01-01,P008,S10,77
2024-01-01,P009,S01,204
2024-01-01,P009,S02,242
2024-01-01,P009,S03,26
2024-01-01,P009,S04,246
2024-01-01,P009,S05,33
2024-01-01,P009,S06,79
2024-01-01,P009,S07,319
2024-01-01,P009,S08,102
2024-01-01,P009,S09,76
2024-01-01,P009,S10,58
2024-01-01,P010,S01,75
2024-01-01,P010,S02,40
2024-01-01,P010,S03,103
2024-01-01,P010,S04,119
2024-01-01,P010,S05,319
2024-01-01,P010,S06,36
2024-01-01,P010,S07,174
2024-01-01,P010,S08,195
2024-01-01,P010,S09,150
2024-01-01,P010,S10,41
2024-01-01,P011,S01,58
2024-01-01,P011,S02,347
2024-01-01,P011,S03,98
2024-01-01,P011,S04,234
2024-01-01,P011,S05,69
2024-01-01,P011,S06,60
2024-01-01,P011,S07,189
2024-01-01,P011,S08,293
2024-01-01,P011,S09,63
2024-01-01,P011,S10,49
2024-01-01,P012,S01,128
2024-01-01,P012,S02,269
2024-01-01,P012,S03,136
2024-01-01,P012,S04,123
2024-01-01,P012,S05,104
2024-01-01,P012,S06,29
2024-01-01,P012,S07,94
2024-01-01,P012,S08,133
2024-01-01,P012,S09,45
2024-01-01,P012,S10,88
2024-01-01,P013,S01,194
2024-01-01,P013,S02,30
2024-01-01,P013,S03,70
2024-01-01,P013,S04,283
2024-01-01,P013,S05,190
2024-01-01,P013,S06,124
2024-01-01,P013,S07,47
2024-01-01,P013,S08,190
2024-01-01,P013,S09,173
2024-01-01,P013,S10,129
2024-01-01,P014,S01,35
2024-01-01,P014,S02,102
2024-01-01,P014,S03,180
2024-01-01,P014,S04,126
2024-01-01,P014,S05,40
2024-01-01,P014,S06,67
2024-01-01,P014,S07,102
2024-01-01,P014,S08,106
2024-01-01,P014,S09,204
2024-01-01,P014,S10,152
2024-01-01,P015,S01,169
2024-01-01,P015,S02,61
2024-01-01,P015,S03,28
2024-01-01,P015,S04,28
2024-01-01,P015,S05,65
2024-01-01,P015,S06,234
2024-01-01,P015,S07,140
2024-01-01,P015,S08,70
2024-01-01,P015,S09,210
2024-01-01,P015,S10,140
2024-01-01,P016,S01,74
2024-01-01,P016,S02,67
2024-01-01,P016,S03,210
2024-01-01,P016,S04,154
2024-01-01,P016,S05,89
2024-01-01,P016,S06,242
2024-01-01,P016,S07,89
2024-01-01,P016,S08,301
2024-01-01,P016,S09,139
2024-01-01,P016,S10,102
2024-01-01,P017,S01,61
2024-01-01,P017,S02,89
2024-01-01,P017,S03,187
2024-01-01,P017,S04,123
2024-01-01,P017,S05,94
2024-01-01,P017,S06,114
2024-01-01,P017,S07,140
2024-01-01,P017,S08,160
2024-01-01,P017,S09,53
2024-01-01,P017,S10,57
2024-01-01,P018,S01,220
2024-01-01,P018,S02,224
2024-01-01,P018,S03,295
2024-01-01,P018,S04,138
2024-01-01,P018,S05,153
2024-01-01,P018,S06,61
2024-01-01,P018,S07,193
2024-01-01,P018,S08,28
2024-01-01,P018,S09,33
2024-01-01,P018,S10,92
2024-01-01,P019,S01,168
2024-01-01,P019,S02,94
2024-01-01,P019,S03,69
2024-01-01,P019,S04,145
2024-01-01,P019,S05,122
2024-01-01,P019,S06,137
2024-01-01,P019,S07,90
2024-01-01,P019,S08,37
2024-01-01,P019,S09,141
2024-01-01,P019,S10,160
2024-01-01,P020,S01,61
2024-01-01,P020,S02,96
2024-01-01,P020,S03,70
2024-01-01,P020,S04,111
2024-01-01,P020,S05,95
2024-01-01,P020,S06,224
2024-01-01,P020,S07,308
2024-01-01,P020,S08,163
2024-01-01,P020,S09,56
2024-01-01,P020,S10,153
2024-01-01,P021,S01,85
2024-01-01,P021,S02,50
2024-01-01,P021,S03,176
2024-01-01,P021,S04,104
2024-01-01,P021,S05,24
