product_id,product_name,category
P001,Product 001,Beverages
P002,Product 002,Personal Care
P003,Product 003,Personal Care
P004,Product 004,Grocery
P005,Product 005,Grocery
P006,Product 006,Household
P007,Product 007,Beverages
P008,Product 008,Personal Care
P009,Product 009,Snacks
P010,Product 010,Beverages
P011,Product 011,Grocery
P012,Product 012,Household
P013,Product 013,Personal Care
P014,Product 014,Personal Care
P015,Product 015,Personal Care
P016,Product 016,Personal Care
P017,Product 017,Grocery
P018,Product 018,Beverages
P019,Product 019,Household
P020,Product 020,Grocery
P021,Product 021,Grocery
P022,Product 022,Snacks
P023,Product 023,Beverages
P024,Product 024,Household
P025,Product 025,Personal Care
P026,Product 026,Personal Care
P027,Product 027,Grocery
P028,Product 028,Household
P029,Product 029,Grocery
P030,Product 030,Grocery
P031,Product 031,Grocery
P032,Product 032,Snacks
P033,Product 033,Beverages
P034,Product 034,Grocery
P035,Product 035,Household
P036,Product 036,Beverages
P037,Product 037,Household
P038,Product 038,Household
P039,Product 039,Snacks
P040,Product 040,Personal Care
P041,Product 041,Beverages
P042,Product 042,Personal Care
P043,Product 043,Personal Care
P044,Product 044,Snacks
P045,Product 045,Beverages
P046,Product 046,Household
P047,Product 047,Grocery
P048,Product 048,Household
P049,Product 049,Personal Care
P050,Product 050,Personal Care
P051,Product 051,Personal Care
P052,Product 052,Beverages
P053,Product 053,Snacks
P054,Product 054,Grocery
P055,Product 055,Grocery
P056,Product 056,Beverages
P057,Product 057,Grocery
P058,Product 058,Beverages
P059,Product 059,Personal Care
P060,Product 060,Personal Care
